x0,x1,x35,x36,x41,x45,x46,x68,x84,x94,x34_bmw,x34_chevrolet,x34_chrysler,x34_ford,x34_honda,x34_mercedes,x34_nissan,x34_tesla,x34_toyota,x34_volkswagen,x93_america,x93_asia,x93_europe
0.19606259899999998,3.683995405,2,-4.664154248,124.72,-0.01,14.36055481,4,-11.07276963,0.023357213999999998,0,0,0,0,0,0,0,1,0,0,0,1,0
23.15519683,-9.226725445,2,5.220241585,1273.04,-0.01,0.328323663,3,4.601376315,1.349388658,0,0,0,0,0,0,0,0,1,0,0,1,0
-13.96961801,-0.34397832799999994,4,-0.061423727000000004,-1651.19,0.0,3.8248816430000003,1,17.35174599,2.149993382,1,0,0,0,0,0,0,0,0,0,0,1,0
49.72248051,-1.500789165,4,1.908461175,896.05,0.01,-6.201024052,1,6.084073132,-3.052037378,0,0,0,0,0,0,0,0,1,0,0,1,0
-13.49440335,7.445214524,4,0.074133107,-1710.27,0.01,-12.54733844,6,10.03578341,-0.100660049,0,0,0,0,1,0,0,0,0,0,0,1,0
-52.92867811,20.31869804,2,3.970205327,-634.94,0.01,3.714089168,3,5.796238802,-2.9828100460000004,0,0,0,0,0,0,0,0,1,0,0,1,0
-5.095166436,10.80407171,2,3.879950089,272.9,-0.01,-1.694294191,4,8.353068891,-0.94872565,1,0,0,0,0,0,0,0,0,0,0,1,0
5.498619791,-9.66480679,4,1.576982643,-1659.69,-0.01,-1.9716804380000001,4,-10.42757236,0.8490584590000001,0,0,0,1,0,0,0,0,0,0,0,1,0
-77.50348232,15.45962126,2,1.9769709009999998,-1061.87,0.0,-8.424532339,4,3.34039849,-1.342460239,0,0,0,0,0,0,0,0,0,1,1,0,0
43.21453222,-25.64789357,2,-2.755701818,526.37,0.0,-7.966714147,3,-2.655538457,-0.290636063,0,0,0,0,1,0,0,0,0,0,0,1,0
1.044268634,30.32879518,2,-1.56574697,-903.23,0.01,0.062612184,3,-0.850401662,0.250883695,0,0,0,0,0,0,0,0,1,0,0,1,0
31.34524374,-8.61312366,2,2.484965033,326.63,-0.01,-0.847241114,1,7.081839187000001,-0.191421741,1,0,0,0,0,0,0,0,0,0,0,1,0
-4.4054704000000005,22.13876435,2,1.239642115,-1043.81,0.0,-0.489578499,6,-4.483317682,0.818361289,0,0,0,0,0,0,0,0,1,0,0,1,0
62.65921899999999,-22.8952796,2,-1.903582439,1508.92,-0.01,-2.661445625,1,7.929698282,-1.1774271920000001,1,0,0,0,0,0,0,0,0,0,0,1,0
-30.37970906,20.33872307,3,1.4556110309999999,-754.73,0.02,-0.159955859,0,-10.65126354,-0.24355774800000002,0,0,0,0,0,0,0,0,0,1,0,1,0
59.27594792,-25.17567993,2,-6.722702084,-142.4,0.0,-9.918532014,9,7.09152088,-0.615133842,0,0,0,0,0,0,0,0,0,1,0,1,0
-40.44719262,35.94340858,4,-3.255760047,-1027.17,0.01,-0.580064778,4,-4.823272748,-0.665351944,0,0,0,0,0,0,0,0,0,1,1,0,0
30.08760507,-20.26515886,2,-1.1368903190000001,344.2,0.0,1.082240839,3,-12.43109056,0.529056559,0,0,1,0,0,0,0,0,0,0,0,1,0
16.96362369,-8.940815379,2,4.703882683,708.43,0.01,-1.14411368,1,-5.24412648,-0.39257318,0,0,0,0,0,0,0,0,0,1,0,1,0
